"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 14 09:39:02 EEST 2024","Sun Apr 14 09:39:02 EEST 2024","33","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.HeaderTest","Tests.ProductsPageTest.HeaderTest","validateMenuIsDisplayed","validateMenuIsDisplayed",""
"passed","Sun Apr 14 09:43:30 EEST 2024","Sun Apr 14 09:43:30 EEST 2024","196","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.SubheaderTest","Tests.ProductsPageTest.SubheaderTest","validateThePriceFromLowToHighFilterIsWorking","validateThePriceFromLowToHighFilterIsWorking",""
"passed","Sun Apr 14 09:40:32 EEST 2024","Sun Apr 14 09:40:32 EEST 2024","82","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ItemDescriptionTest","Tests.ProductsPageTest.ItemDescriptionTest","validateTheRemoveButtonIsEnable","validateTheRemoveButtonIsEnable",""
"passed","Sun Apr 14 09:43:20 EEST 2024","Sun Apr 14 09:43:20 EEST 2024","206","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.SubheaderTest","Tests.ProductsPageTest.SubheaderTest","validateTheDescendingNameFilterIsWorking","validateTheDescendingNameFilterIsWorking",""
"passed","Sun Apr 14 09:36:33 EEST 2024","Sun Apr 14 09:36:34 EEST 2024","297","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginFunctionalityTest","Tests.LoginTest.LoginFunctionalityTest","validateErrorMessageWithEmptyUsernameAndCorrectPasswordField","validateErrorMessageWithEmptyUsernameAndCorrectPasswordField",""
"passed","Sun Apr 14 09:42:43 EEST 2024","Sun Apr 14 09:42:43 EEST 2024","31","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ShoppingCartTest","Tests.ProductsPageTest.ShoppingCartTest","validateTheShoppingCartIsPresented","validateTheShoppingCartIsPresented",""
"passed","Sun Apr 14 09:44:04 EEST 2024","Sun Apr 14 09:44:04 EEST 2024","158","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.CartPageTest","Tests.ShoppingCartPageTest.CartPageTest","validateTheCheckoutButtonIsPresented","validateTheCheckoutButtonIsPresented",""
"passed","Sun Apr 14 09:40:03 EEST 2024","Sun Apr 14 09:40:03 EEST 2024","26","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ItemDescriptionTest","Tests.ProductsPageTest.ItemDescriptionTest","validateTheAddToCartButtonIsEnabled","validateTheAddToCartButtonIsEnabled",""
"passed","Sun Apr 14 09:43:35 EEST 2024","Sun Apr 14 09:43:35 EEST 2024","81","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.SubheaderTest","Tests.ProductsPageTest.SubheaderTest","validateTheSpellingOfAllFilterOptions","validateTheSpellingOfAllFilterOptions",""
"passed","Sun Apr 14 09:42:08 EEST 2024","Sun Apr 14 09:42:08 EEST 2024","15","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ProductsPage01Test","Tests.ProductsPageTest.ProductsPage01Test","validateTheTitlePage","validateTheTitlePage",""
"passed","Sun Apr 14 09:37:40 EEST 2024","Sun Apr 14 09:37:40 EEST 2024","37","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateTheLabelOfUsernameField","validateTheLabelOfUsernameField",""
"passed","Sun Apr 14 09:45:07 EEST 2024","Sun Apr 14 09:45:07 EEST 2024","96","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.FooterTest","Tests.ShoppingCartPageTest.FooterTest","validateTheCopyrightNoticeMessage","validateTheCopyrightNoticeMessage",""
"passed","Sun Apr 14 09:36:27 EEST 2024","Sun Apr 14 09:36:28 EEST 2024","312","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginFunctionalityTest","Tests.LoginTest.LoginFunctionalityTest","validateErrorMessageWhenUsernameAndPasswordDoNotMatch","validateErrorMessageWhenUsernameAndPasswordDoNotMatch",""
"passed","Sun Apr 14 09:46:01 EEST 2024","Sun Apr 14 09:46:01 EEST 2024","165","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.HeaderTest","Tests.ShoppingCartPageTest.HeaderTest","validateTheMenuButtonIsWorking","validateTheMenuButtonIsWorking",""
"passed","Sun Apr 14 09:38:57 EEST 2024","Sun Apr 14 09:38:57 EEST 2024","96","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.HeaderTest","Tests.ProductsPageTest.HeaderTest","validateMenuButtonIsWorking","validateMenuButtonIsWorking",""
"passed","Sun Apr 14 09:36:45 EEST 2024","Sun Apr 14 09:36:45 EEST 2024","303","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginFunctionalityTest","Tests.LoginTest.LoginFunctionalityTest","validateLoginWithIncorrectUsernameAndCorrectPassword","validateLoginWithIncorrectUsernameAndCorrectPassword",""
"passed","Sun Apr 14 09:38:24 EEST 2024","Sun Apr 14 09:38:24 EEST 2024","32","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.FooterTest","Tests.ProductsPageTest.FooterTest","validateLinkedinButtonIsPresented","validateLinkedinButtonIsPresented",""
"passed","Sun Apr 14 09:36:48 EEST 2024","Sun Apr 14 09:36:56 EEST 2024","8363","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginFunctionalityTest","Tests.LoginTest.LoginFunctionalityTest","validateWithPerformanceGlitchUserAndPassword","validateWithPerformanceGlitchUserAndPassword",""
"passed","Sun Apr 14 09:44:19 EEST 2024","Sun Apr 14 09:44:19 EEST 2024","152","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.CartPageTest","Tests.ShoppingCartPageTest.CartPageTest","validateTheItemTitleIsClickable","validateTheItemTitleIsClickable",""
"passed","Sun Apr 14 09:37:48 EEST 2024","Sun Apr 14 09:37:48 EEST 2024","11","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateTheURl","validateTheURl",""
"passed","Sun Apr 14 09:45:55 EEST 2024","Sun Apr 14 09:45:55 EEST 2024","102","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.HeaderTest","Tests.ShoppingCartPageTest.HeaderTest","validateTheMenuButtonIsPresented","validateTheMenuButtonIsPresented",""
"passed","Sun Apr 14 09:40:27 EEST 2024","Sun Apr 14 09:40:27 EEST 2024","31","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ItemDescriptionTest","Tests.ProductsPageTest.ItemDescriptionTest","validateTheProductTitleIsPresent","validateTheProductTitleIsPresent",""
"passed","Sun Apr 14 09:40:17 EEST 2024","Sun Apr 14 09:40:17 EEST 2024","29","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ItemDescriptionTest","Tests.ProductsPageTest.ItemDescriptionTest","validateTheProductPictureIsPresent","validateTheProductPictureIsPresent",""
"passed","Sun Apr 14 09:36:30 EEST 2024","Sun Apr 14 09:36:31 EEST 2024","292","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginFunctionalityTest","Tests.LoginTest.LoginFunctionalityTest","validateErrorMessageWithEmptyPasswordField","validateErrorMessageWithEmptyPasswordField",""
"passed","Sun Apr 14 09:36:59 EEST 2024","Sun Apr 14 09:37:02 EEST 2024","2533","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginFunctionalityTest","Tests.LoginTest.LoginFunctionalityTest","validateWithStandardUserAndPassword","validateWithStandardUserAndPassword",""
"passed","Sun Apr 14 09:37:35 EEST 2024","Sun Apr 14 09:37:35 EEST 2024","38","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateTheLabelOfLoginButton","validateTheLabelOfLoginButton",""
"passed","Sun Apr 14 09:45:30 EEST 2024","Sun Apr 14 09:45:30 EEST 2024","205","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.HeaderTest","Tests.ShoppingCartPageTest.HeaderTest","validateShoppingCartIconHasCorrectNumberOfAddedItems","validateShoppingCartIconHasCorrectNumberOfAddedItems",""
"passed","Sun Apr 14 09:45:12 EEST 2024","Sun Apr 14 09:45:12 EEST 2024","94","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.FooterTest","Tests.ShoppingCartPageTest.FooterTest","validateTwitterButtonIsPresented","validateTwitterButtonIsPresented",""
"passed","Sun Apr 14 09:37:43 EEST 2024","Sun Apr 14 09:37:43 EEST 2024","41","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateTheTitleInHeader","validateTheTitleInHeader",""
"passed","Sun Apr 14 09:42:33 EEST 2024","Sun Apr 14 09:42:33 EEST 2024","151","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ShoppingCartTest","Tests.ProductsPageTest.ShoppingCartTest","validateShoppingCartIconIsUpdatedTheNumberItDisplayed","validateShoppingCartIconIsUpdatedTheNumberItDisplayed",""
"passed","Sun Apr 14 09:42:12 EEST 2024","Sun Apr 14 09:42:12 EEST 2024","8","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ProductsPage01Test","Tests.ProductsPageTest.ProductsPage01Test","validateTheUrl","validateTheUrl",""
"passed","Sun Apr 14 09:39:58 EEST 2024","Sun Apr 14 09:39:58 EEST 2024","91","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ItemDescriptionTest","Tests.ProductsPageTest.ItemDescriptionTest","validateTheAddToCartButtonIsChangedToRemoveButton","validateTheAddToCartButtonIsChangedToRemoveButton",""
"passed","Sun Apr 14 09:41:12 EEST 2024","Sun Apr 14 09:41:16 EEST 2024","3148","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.MenuTest","Tests.ProductsPageTest.MenuTest","validateLogoutLinkIsWorking","validateLogoutLinkIsWorking",""
"passed","Sun Apr 14 09:38:29 EEST 2024","Sun Apr 14 09:38:29 EEST 2024","30","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.FooterTest","Tests.ProductsPageTest.FooterTest","validateTheCopyrightNoticeMessage","validateTheCopyrightNoticeMessage",""
"passed","Sun Apr 14 09:39:12 EEST 2024","Sun Apr 14 09:39:12 EEST 2024","28","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.HeaderTest","Tests.ProductsPageTest.HeaderTest","validateShoppingCartIconIsEnabled","validateShoppingCartIconIsEnabled",""
"passed","Sun Apr 14 09:43:59 EEST 2024","Sun Apr 14 09:43:59 EEST 2024","149","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.CartPageTest","Tests.ShoppingCartPageTest.CartPageTest","validateItemQTYIsPresented","validateItemQTYIsPresented",""
"passed","Sun Apr 14 09:46:11 EEST 2024","Sun Apr 14 09:46:12 EEST 2024","1715","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.HeaderTest","Tests.ShoppingCartPageTest.HeaderTest","validateTheTitleOfAllOptionsInMenu","validateTheTitleOfAllOptionsInMenu",""
"passed","Sun Apr 14 09:40:13 EEST 2024","Sun Apr 14 09:40:13 EEST 2024","30","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ItemDescriptionTest","Tests.ProductsPageTest.ItemDescriptionTest","validateTheProductDescriptionIsPresent","validateTheProductDescriptionIsPresent",""
"passed","Sun Apr 14 09:37:51 EEST 2024","Sun Apr 14 09:37:51 EEST 2024","31","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateUsernameFieldIsEnable","validateUsernameFieldIsEnable",""
"passed","Sun Apr 14 09:40:54 EEST 2024","Sun Apr 14 09:40:59 EEST 2024","5871","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.MenuTest","Tests.ProductsPageTest.MenuTest","validateAboutLinkIsWorking","validateAboutLinkIsWorking",""
"passed","Sun Apr 14 09:40:22 EEST 2024","Sun Apr 14 09:40:22 EEST 2024","34","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ItemDescriptionTest","Tests.ProductsPageTest.ItemDescriptionTest","validateTheProductPriceIsPresent","validateTheProductPriceIsPresent",""
"passed","Sun Apr 14 09:43:15 EEST 2024","Sun Apr 14 09:43:15 EEST 2024","174","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.SubheaderTest","Tests.ProductsPageTest.SubheaderTest","validateTheAscendingNameFilterIsWorking","validateTheAscendingNameFilterIsWorking",""
"passed","Sun Apr 14 09:43:25 EEST 2024","Sun Apr 14 09:43:25 EEST 2024","198","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.SubheaderTest","Tests.ProductsPageTest.SubheaderTest","validateThePriceFromHighToLowFilterIsWorking","validateThePriceFromHighToLowFilterIsWorking",""
