"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 14 09:36:36 EEST 2024","Sun Apr 14 09:36:37 EEST 2024","288","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginFunctionalityTest","Tests.LoginTest.LoginFunctionalityTest","validateLoginWithCorrectUsernameAndIncorrectPassword","validateLoginWithCorrectUsernameAndIncorrectPassword",""
"passed","Sun Apr 14 09:43:04 EEST 2024","Sun Apr 14 09:43:04 EEST 2024","88","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.SubheaderTest","Tests.ProductsPageTest.SubheaderTest","validateExpectedTotalOptionsAndActualNumberOfFilterOptions","validateExpectedTotalOptionsAndActualNumberOfFilterOptions",""
"passed","Sun Apr 14 09:44:29 EEST 2024","Sun Apr 14 09:44:30 EEST 2024","153","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.CartPageTest","Tests.ShoppingCartPageTest.CartPageTest","validateThePriceOfTheItemIsPresented","validateThePriceOfTheItemIsPresented",""
"passed","Sun Apr 14 09:41:34 EEST 2024","Sun Apr 14 09:41:36 EEST 2024","2158","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.MenuTest","Tests.ProductsPageTest.MenuTest","validateTheCloseMenuIsWorking","validateTheCloseMenuIsWorking",""
"passed","Sun Apr 14 09:41:05 EEST 2024","Sun Apr 14 09:41:07 EEST 2024","2648","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.MenuTest","Tests.ProductsPageTest.MenuTest","validateAllItemsLinkIsWorking","validateAllItemsLinkIsWorking",""
"passed","Sun Apr 14 09:41:48 EEST 2024","Sun Apr 14 09:41:48 EEST 2024","111","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.MenuTest","Tests.ProductsPageTest.MenuTest","validateTheTotalNumberOfMenuOptions","validateTheTotalNumberOfMenuOptions",""
"passed","Sun Apr 14 09:39:52 EEST 2024","Sun Apr 14 09:39:53 EEST 2024","82","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ItemDescriptionTest","Tests.ProductsPageTest.ItemDescriptionTest","validateShoppingCartIsEnable","validateShoppingCartIsEnable",""
"passed","Sun Apr 14 09:44:57 EEST 2024","Sun Apr 14 09:44:57 EEST 2024","110","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.FooterTest","Tests.ShoppingCartPageTest.FooterTest","validateFacebookButtonIsPresented","validateFacebookButtonIsPresented",""
"passed","Sun Apr 14 09:40:08 EEST 2024","Sun Apr 14 09:40:08 EEST 2024","31","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ItemDescriptionTest","Tests.ProductsPageTest.ItemDescriptionTest","validateTheAddToCartButtonIsPresent","validateTheAddToCartButtonIsPresent",""
"passed","Sun Apr 14 09:36:42 EEST 2024","Sun Apr 14 09:36:43 EEST 2024","222","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginFunctionalityTest","Tests.LoginTest.LoginFunctionalityTest","validateLoginWithEmptyUsernameAndPassword","validateLoginWithEmptyUsernameAndPassword",""
"passed","Sun Apr 14 09:37:38 EEST 2024","Sun Apr 14 09:37:38 EEST 2024","29","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateTheLabelOfPasswordField","validateTheLabelOfPasswordField",""
"passed","Sun Apr 14 09:46:37 EEST 2024","Sun Apr 14 09:46:37 EEST 2024","113","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.SubheaderTest","Tests.ShoppingCartPageTest.SubheaderTest","validateTheItemTitleIsPresented","validateTheItemTitleIsPresented",""
"passed","Sun Apr 14 09:37:24 EEST 2024","Sun Apr 14 09:37:24 EEST 2024","37","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateLoginButtonIsEnable","validateLoginButtonIsEnable",""
"passed","Sun Apr 14 09:41:28 EEST 2024","Sun Apr 14 09:41:29 EEST 2024","1103","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.MenuTest","Tests.ProductsPageTest.MenuTest","validateTheCloseMenuIsPresented","validateTheCloseMenuIsPresented",""
"passed","Sun Apr 14 09:37:33 EEST 2024","Sun Apr 14 09:37:33 EEST 2024","39","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validatePasswordFieldIsPresented","validatePasswordFieldIsPresented",""
"passed","Sun Apr 14 09:37:27 EEST 2024","Sun Apr 14 09:37:27 EEST 2024","37","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateLoginButtonIsPresented","validateLoginButtonIsPresented",""
"passed","Sun Apr 14 09:44:09 EEST 2024","Sun Apr 14 09:44:09 EEST 2024","301","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.CartPageTest","Tests.ShoppingCartPageTest.CartPageTest","validateTheCheckoutButtonIsWorking","validateTheCheckoutButtonIsWorking",""
"passed","Sun Apr 14 09:37:56 EEST 2024","Sun Apr 14 09:37:56 EEST 2024","28","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","verifyPasswordFieldIsEnable","verifyPasswordFieldIsEnable",""
"passed","Sun Apr 14 09:39:22 EEST 2024","Sun Apr 14 09:39:22 EEST 2024","70","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.HeaderTest","Tests.ProductsPageTest.HeaderTest","validateShoppingCartIconIsWorking","validateShoppingCartIconIsWorking",""
"passed","Sun Apr 14 09:37:46 EEST 2024","Sun Apr 14 09:37:46 EEST 2024","8","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateTheTitlePage","validateTheTitlePage",""
"passed","Sun Apr 14 09:44:14 EEST 2024","Sun Apr 14 09:44:14 EEST 2024","99","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.CartPageTest","Tests.ShoppingCartPageTest.CartPageTest","validateTheItemDescriptionIsPresented","validateTheItemDescriptionIsPresented",""
"passed","Sun Apr 14 09:45:50 EEST 2024","Sun Apr 14 09:45:50 EEST 2024","90","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.HeaderTest","Tests.ShoppingCartPageTest.HeaderTest","validateTheMenuButtonIsEnable","validateTheMenuButtonIsEnable",""
"passed","Sun Apr 14 09:39:27 EEST 2024","Sun Apr 14 09:39:27 EEST 2024","27","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.HeaderTest","Tests.ProductsPageTest.HeaderTest","validateTheTitleInHeader","validateTheTitleInHeader",""
"passed","Sun Apr 14 09:42:38 EEST 2024","Sun Apr 14 09:42:38 EEST 2024","163","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ShoppingCartTest","Tests.ProductsPageTest.ShoppingCartTest","validateTheItemIsAddedInTheShoppingCartPageCorrectly","validateTheItemIsAddedInTheShoppingCartPageCorrectly",""
"passed","Sun Apr 14 09:38:19 EEST 2024","Sun Apr 14 09:38:19 EEST 2024","38","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.FooterTest","Tests.ProductsPageTest.FooterTest","validateFacebookButtonIsPresented","validateFacebookButtonIsPresented",""
"passed","Sun Apr 14 09:39:07 EEST 2024","Sun Apr 14 09:39:07 EEST 2024","279","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.HeaderTest","Tests.ProductsPageTest.HeaderTest","validateShoppingCartIconHasCorrectNumberOfAddedItems","validateShoppingCartIconHasCorrectNumberOfAddedItems",""
"passed","Sun Apr 14 09:39:47 EEST 2024","Sun Apr 14 09:39:47 EEST 2024","317","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.ItemDescriptionTest","Tests.ProductsPageTest.ItemDescriptionTest","validateRemoveButtonIsWorking","validateRemoveButtonIsWorking",""
"passed","Sun Apr 14 09:43:40 EEST 2024","Sun Apr 14 09:43:40 EEST 2024","30","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.SubheaderTest","Tests.ProductsPageTest.SubheaderTest","validateTheSubheaderTitle","validateTheSubheaderTitle",""
"passed","Sun Apr 14 09:46:06 EEST 2024","Sun Apr 14 09:46:06 EEST 2024","95","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.HeaderTest","Tests.ShoppingCartPageTest.HeaderTest","validateTheTitleInHeader","validateTheTitleInHeader",""
"passed","Sun Apr 14 09:37:30 EEST 2024","Sun Apr 14 09:37:30 EEST 2024","338","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateLoginButtonIsWorking","validateLoginButtonIsWorking",""
"passed","Sun Apr 14 09:41:41 EEST 2024","Sun Apr 14 09:41:43 EEST 2024","1637","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.MenuTest","Tests.ProductsPageTest.MenuTest","validateTheTitleOfAllOptionsInMenu","validateTheTitleOfAllOptionsInMenu",""
"passed","Sun Apr 14 09:39:17 EEST 2024","Sun Apr 14 09:39:17 EEST 2024","32","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.HeaderTest","Tests.ProductsPageTest.HeaderTest","validateShoppingCartIconIsPresent","validateShoppingCartIconIsPresent",""
"passed","Sun Apr 14 09:45:35 EEST 2024","Sun Apr 14 09:45:35 EEST 2024","87","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.HeaderTest","Tests.ShoppingCartPageTest.HeaderTest","validateShoppingCartIconIsEnable","validateShoppingCartIconIsEnable",""
"passed","Sun Apr 14 09:44:39 EEST 2024","Sun Apr 14 09:44:40 EEST 2024","215","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.CartPageTest","Tests.ShoppingCartPageTest.CartPageTest","validateTheRemoveButtonIsWorking","validateTheRemoveButtonIsWorking",""
"passed","Sun Apr 14 09:37:53 EEST 2024","Sun Apr 14 09:37:53 EEST 2024","39","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginPageTest","Tests.LoginTest.LoginPageTest","validateUsernameFieldIsPresented","validateUsernameFieldIsPresented",""
"passed","Sun Apr 14 09:41:20 EEST 2024","Sun Apr 14 09:41:23 EEST 2024","2342","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.MenuTest","Tests.ProductsPageTest.MenuTest","validateResetAppStateLinkIsWorking","validateResetAppStateLinkIsWorking",""
"passed","Sun Apr 14 09:38:52 EEST 2024","Sun Apr 14 09:38:52 EEST 2024","28","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.HeaderTest","Tests.ProductsPageTest.HeaderTest","validateMenuButtonIsEnabled","validateMenuButtonIsEnabled",""
"passed","Sun Apr 14 09:36:39 EEST 2024","Sun Apr 14 09:36:40 EEST 2024","343","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginFunctionalityTest","Tests.LoginTest.LoginFunctionalityTest","validateLoginWithEmptyUsernameAndCorrectPassword","validateLoginWithEmptyUsernameAndCorrectPassword",""
"passed","Sun Apr 14 09:45:45 EEST 2024","Sun Apr 14 09:45:45 EEST 2024","75","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.HeaderTest","Tests.ShoppingCartPageTest.HeaderTest","validateShoppingCartIconIsWorking","validateShoppingCartIconIsWorking",""
"passed","Sun Apr 14 09:37:04 EEST 2024","Sun Apr 14 09:37:07 EEST 2024","2437","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.LoginTest.LoginFunctionalityTest","Tests.LoginTest.LoginFunctionalityTest","validateWithVisualUserAndPassword","validateWithVisualUserAndPassword",""
"passed","Sun Apr 14 09:44:34 EEST 2024","Sun Apr 14 09:44:35 EEST 2024","151","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.CartPageTest","Tests.ShoppingCartPageTest.CartPageTest","validateTheRemoveButtonIsPresented","validateTheRemoveButtonIsPresented",""
"passed","Sun Apr 14 09:45:02 EEST 2024","Sun Apr 14 09:45:02 EEST 2024","97","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.FooterTest","Tests.ShoppingCartPageTest.FooterTest","validateLinkedinButtonIsPresented","validateLinkedinButtonIsPresented",""
"passed","Sun Apr 14 09:38:34 EEST 2024","Sun Apr 14 09:38:34 EEST 2024","33","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.FooterTest","Tests.ProductsPageTest.FooterTest","validateTwitterButtonIsPresented","validateTwitterButtonIsPresented",""
"passed","Sun Apr 14 09:45:40 EEST 2024","Sun Apr 14 09:45:40 EEST 2024","100","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.HeaderTest","Tests.ShoppingCartPageTest.HeaderTest","validateShoppingCartIconIsPresented","validateShoppingCartIconIsPresented",""
"passed","Sun Apr 14 09:44:24 EEST 2024","Sun Apr 14 09:44:25 EEST 2024","196","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ShoppingCartPageTest.CartPageTest","Tests.ShoppingCartPageTest.CartPageTest","validateTheItemTitleIsWorking","validateTheItemTitleIsWorking",""
"passed","Sun Apr 14 09:43:10 EEST 2024","Sun Apr 14 09:43:10 EEST 2024","35","Default Suite","SwagLabsMavenSeleniumTestNGAllure","Tests.ProductsPageTest.SubheaderTest","Tests.ProductsPageTest.SubheaderTest","validateFilterButtonIsPresented","validateFilterButtonIsPresented",""
